X,Y,OBJECTID,PWS_ID,PWS_NAME,CITY,DS_RO_SEQ_NO,MCD_CODE,MUNI_TYPE_CODE,SURVEY_TOWNSHIP,SURVEY_RANGE,SURVEY_RANGE_NDIR,SURVEY_SECTION,NUMBER_ENTRY_POINTS,SAMPLE_STATUS,SAMPLE_DATE,SAMPLE_RESULTS
655952.9999,267104.1875,4982,26802094,MUKWONAGO WATERWORKS,MUKWONAGO,139193,16,0,5,18,4,26,3,Sampled,2023/05/25 00:00:00+00,PFAS exceeds hazard index for samples from the water system
366177.9375,480195.781300001,7349,61702630,DOWNSVILLE SANITARY DISTRICT,DOWNSVILLE,145500,,,27,13,2,34,2,,,
678005.3124,384163.031199999,16588,43604275,KIEL WATERWORKS,KIEL,141745,41,2,17,21,4,30,4,Sampled,2023/04/18 00:00:00+00,PFAS detected below hazard index in one or more samples from the water system
431692.8749,394818.093699999,17493,63203261,TOWN OF FARMINGTON SANITARY DISTRICT,MINDORO,145907,,,18,6,2,21,2,Sampled,2022/06/15 00:00:00+00,PFAS not detected in any samples from the water system
450354.7813,277497.3125,36022,12201112,MOUNT HOPE WATERWORKS,MOUNT HOPE,135604,38,0,6,4,2,28,1,,,
406087.5,393492.218699999,36436,66203324,TREMPEALEAU WATERWORKS,TREMPEALEAU,146756,28,0,18,9,2,26,2,Sampled,2023/04/11 00:00:00+00,PFAS not detected in any samples from the water system
687827.0,492346.093800001,38202,44304953,OCONTO WATERWORKS,OCONTO,142553,30,0,28,22,4,19,3,,,
492331.4687,251305.9999,39892,13300694,BELMONT WATERWORKS,BELMONT,136181,4,0,3,1,4,14,3,Sampled,2023/05/08 00:00:00+00,PFAS not detected in any samples from the water system
683905.0625,343900.3126,41961,46003551,RANDOM LAKE WATERWORKS,RANDOM LAKE,143489,76,1,13,21,4,34,2,Sampled,2023/05/30 00:00:00+00,PFAS not detected in any samples from the water system
501841.9063,233472.3126,44105,13300760,SHULLSBURG WATERWORKS,SHULLSBURG,136187,28,0,1,2,4,11,2,Sampled,2023/06/07 00:00:00+00,PFAS not detected in any samples from the water system
583984.3749,243917.843699999,50303,15401254,FOOTVILLE WATERWORKS,FOOTVILLE,136366,26,1,2,11,4,5,2,Sampled,2023/05/03 00:00:00+00,PFAS not detected in any samples from the water system
673928.6875,463382.3126,51690,40510316,SUAMICO WATERWORKS,SUAMICO,140336,38,0,25,20,4,22,3,Sampled,2023/04/03 00:00:00+00,PFAS not detected in any samples from the water system
635816.6251,229712.078199999,54059,26501497,WALWORTH WATERWORKS,WALWORTH,138417,30,0,1,16,4,22,3,Sampled,2023/05/23 00:00:00+00,PFAS detected below hazard index in one or more samples from the water system
469967.7499,372067.8751,55826,64202963,NORWALK WATERWORKS,NORWALK,146089,61,1,16,2,2,33,2,Sampled,2023/04/24 00:00:00+00,PFAS not detected in any samples from the water system
367992.2813,491339.031099999,58387,61702685,MENOMONIE WATERWORKS,MENOMONIE,145504,16,0,28,13,2,26,3,Sampled,2023/02/14 00:00:00+00,PFAS detected below hazard index in one or more samples from the water system
528338.625,430068.156400001,61484,77201135,PORT EDWARDS WATER UTILITY,PORT EDWARDS,149648,26,0,22,5,4,34,2,Sampled,2023/05/10 00:00:00+00,PFAS detected below hazard index in one or more samples from the water system
381522.9374,571460.0624,73846,60301439,HAUGEN WATERWORKS,HAUGEN,144573,36,1,36,11,2,18,1,,,
484939.5313,497648.343800001,78313,61003393,CURTISS WATERWORKS,CURTISS,145285,11,1,29,1,2,36,1,Sampled,2023/05/15 00:00:00+00,PFAS not detected in any samples from the water system
369957.0937,508954.0,78758,61702740,WHEELER WATERWORKS ASSOC,WHEELER,145508,91,1,30,13,2,36,1,Sampled,2023/06/21 00:00:00+00,PFAS detected below hazard index in one or more samples from the water system
519645.9064,339946.156300001,80677,15701026,REEDSBURG WATERWORKS,REEDSBURG,136628,30,0,12,4,4,10,5,Sampled,2023/05/09 00:00:00+00,PFAS detected below hazard index in one or more samples from the water system
