X,Y,OBJECTID,SITENAME,SOURCES,SITEURL,MEDIA,DWA,WTM_X,WTM_Y,NOTES,SITE_STATUS,BOTW
636657.37,390519.9,1,Oshkosh Defense Property,"Industrial, Firefighting Foam, Fire Training",N/A,Groundwater,NO,636657.37,390519.9,,OPEN,"• <a href=""https://apps.dnr.wi.gov/botw/GetActivityDetail.do?detailSeqNo=587405"" target=""_blank"">359 W WAUKAU AVE (02-71-587405)</a>"
636277.69,390914.130000001,2,Oshkosh Defense Property,"Industrial, Firefighting Foam, Fire Training",N/A,Groundwater,NO,636277.69,390914.13,,OPEN,"• <a href=""https://apps.dnr.wi.gov/botw/GetActivityDetail.do?detailSeqNo=587406"" target=""_blank"">500 W WAUKAU AVE (02-71-587406)</a>"
648006.46,423045.91,3,Former Appleton Wire - Site 2,Unknown,N/A,Groundwater,NO,648006.46,423045.91,,OPEN,"• <a href=""https://apps.dnr.wi.gov/botw/GetActivityDetail.do?detailSeqNo=587658"" target=""_blank"">APPLETON WIRE (FORMER) - SITE 2 (02-45-587658)</a>"
673295.16,448027.550000001,4,Ashview Terrace Apartments,Unknown,N/A,Groundwater,NO,673295.16,448027.55,,OPEN,"• <a href=""https://apps.dnr.wi.gov/botw/GetActivityDetail.do?detailSeqNo=564043"" target=""_blank"">ASHVIEW TERRACE APARTMENTS (02-05-564043)</a>"
677549.13,450270.91,5,Bay Towel Green Bay,Dry Cleaner,N/A,Groundwater,NO,677549.13,450270.91,,OPEN,"• <a href=""https://apps.dnr.wi.gov/botw/GetActivityDetail.do?detailSeqNo=237064"" target=""_blank"">BAY TOWEL - SOLVENT INVESTIGATION (02-05-237064)</a>"
689720.22,273627.35,6,"Biogenesis Enterprises, Inc.",Industrial,N/A,"Groundwater, Soil",NO,689720.22,273627.35,,OPEN,"• <a href=""https://apps.dnr.wi.gov/botw/GetActivityDetail.do?detailSeqNo=107191"" target=""_blank"">BIOGENESIS ENTERPRISES INC (02-41-107191)</a>"
572730.56,293651.17,7,Former Burke Wastwater Treatment Plant,Water Treatment,N/A,"Groundwater, Soil",NO,572730.56,293651.17,,OPEN,"• <a href=""https://apps.dnr.wi.gov/botw/GetActivityDetail.do?detailSeqNo=315773"" target=""_blank"">BURKE WASTEWATER TREATMENT PLT (FMR) (02-13-315773)</a>"
707730.13,516599.609999999,8,"ChemDesign Products, Inc. ",Industrial,N/A,"Groundwater, Soil",NO,707730.13,516599.61,,OPEN,"• <a href=""https://apps.dnr.wi.gov/botw/GetActivityDetail.do?detailSeqNo=583852"" target=""_blank"">CHEMDESIGN PRODUCTS INC - PFAS (02-38-583852)</a>"
402844.25,488743.18,9,Chippewa Valley Airport,"Airport, Fire Training, Firefighting Foam",N/A,"Groundwater, Soil",NO,402844.25,488743.18,,OPEN,"• <a href=""https://apps.dnr.wi.gov/botw/GetActivityDetail.do?detailSeqNo=588115"" target=""_blank"">CHIPPEWA VALLEY AIRPORT PFAS (02-09-588115)</a>"
560026.69,572796.98,10,Rhinelander Municipal Well 7,Unknown,N/A,Drinking Water,NO,560026.69,572796.98,,OPEN,"• <a href=""https://apps.dnr.wi.gov/botw/GetActivityDetail.do?detailSeqNo=584094"" target=""_blank"">CONTAMINATION DETECTED (MUNI WELL 7) (02-44-584094)</a>"
686371.95,324868.01,11,Cook Composite / Former Freeman Chemical,Industrial,N/A,"Groundwater, Soil",NO,686371.95,324868.01,,OPEN,"• <a href=""https://apps.dnr.wi.gov/botw/GetActivityDetail.do?detailSeqNo=35258"" target=""_blank"">COOK COMPOSITE / FORMER FREEMAN CHEM (02-46-000767)</a>"
693009.41,279829.960000001,12,D-F Incorporated,Unknown,N/A,Groundwater,NO,693009.41,279829.96,,OPEN,"• <a href=""https://apps.dnr.wi.gov/botw/GetActivityDetail.do?detailSeqNo=97173"" target=""_blank"">D F INC (02-41-097173)</a>"
573579.77,295761.5,13,Dane County Airport and Military Sites,"Airport, Military, Fire Training","<a href=""https://dnr.wisconsin.gov/topic/PFAS/DaneCounty.html"" target=""_blank"">SITE LINK</a>","Soil, Groundwater, Surface Water, Drinking Water",NO,573579.77,295761.5,,OPEN,"• <a href=""https://apps.dnr.wi.gov/botw/GetActivityDetail.do?detailSeqNo=584472"" target=""_blank"">DANE CNTY REGIONAL AIRPORT (02-13-584472)</a>
 • <a href=""https://apps.dnr.wi.gov/botw/GetActivityDetail.do?detailSeqNo=583366"" target=""_blank"">DANE COUNTY FIRE TRAINING AREAS (02-13-583366)</a>
 • <a href=""https://apps.dnr.wi.gov/botw/GetActivityDetail.do?detailSeqNo=584369"" target=""_blank"">STARK WEATHER CRK TRUAX FIELD (02-13-584369)</a>
 • <a href=""https://apps.dnr.wi.gov/botw/GetActivityDetail.do?detailSeqNo=585319"" target=""_blank"">WANG F35 BUILDING CONSTRUCTIONS (02-13-585319)</a>
 • <a href=""https://apps.dnr.wi.gov/botw/GetActivityDetail.do?detailSeqNo=581254"" target=""_blank"">WANG-115TH FIGHTER WING (02-13-581254)</a>"
401303.83,488337.35,14,Eau Claire Well Field,Unknown,N/A,"Drinking Water, Groundwater",NO,401303.83,488337.35,,OPEN,"• <a href=""https://apps.dnr.wi.gov/botw/GetActivityDetail.do?detailSeqNo=588061"" target=""_blank"">EAU CLAIRE WELL FIELD PFAS (02-18-588061)</a>"
464959.17,396315.76,15,Fort McCoy Fire Training Burn Pit #1,"Airport, Military, Fire Training",N/A,"Soil, Groundwater, Surface Water, Sediment",NO,464959.17,396315.76,,OPEN,"• <a href=""https://apps.dnr.wi.gov/botw/GetActivityDetail.do?detailSeqNo=581481"" target=""_blank"">FORT MCCOY FIRE TNG BURN PIT #1 PFAS (02-42-581481)</a>"
460776.89,387023.939999999,16,Fort McCoy Fire Training Burn Pit #2,"Airport, Military, Fire Training",N/A,"Soil, Groundwater, Surface Water, Sediment",NO,460776.89,387023.94,,OPEN,"• <a href=""https://apps.dnr.wi.gov/botw/GetActivityDetail.do?detailSeqNo=581482"" target=""_blank"">FORT MCCOY FIRE TNG BURN PIT #2 PFAS (02-42-581482)</a>"
460867,386895,17,Fort McCoy Fire Training Burn Pit #3,"Airport, Military, Fire Training",N/A,"Soil, Groundwater",NO,460867,386895,Lowery checked w/ Zeichert,OPEN,"• <a href=""https://apps.dnr.wi.gov/botw/GetActivityDetail.do?detailSeqNo=578125"" target=""_blank"">FORT MCCOY FIRE TRAINING BURN PIT #3 PFAS (02-42-578125)</a>"
691324.62,277973.460000001,18,Milwaukee Mitchell Airport and Military Sites,"Airport, Military, Fire Training",N/A,"Soil, Groundwater, Surface Water",NO,691324.62,277973.46,,OPEN,"• <a href=""https://apps.dnr.wi.gov/botw/GetActivityDetail.do?detailSeqNo=584547"" target=""_blank"">GENERAL MITCHELL INTERNATIONAL AIRPORT PFAS (02-41-584547)</a>
 • <a href=""https://apps.dnr.wi.gov/botw/GetActivityDetail.do?detailSeqNo=582725"" target=""_blank"">128TH PFAS INVESTIGATION (02-41-582725)</a>
 • <a href=""https://apps.dnr.wi.gov/botw/GetActivityDetail.do?detailSeqNo=583232"" target=""_blank"">AIR RESERVE STATION (FORMER 440TH)  - PFAS (02-41-583232)</a>"
676472.89,448222.310000001,19,Georgia Pacific Broadway Mill Expansion,Industrial,N/A,"Groundwater, Soil",NO,676472.89,448222.31,,OPEN,"• <a href=""https://apps.dnr.wi.gov/botw/GetActivityDetail.do?detailSeqNo=586429"" target=""_blank"">GP BROADWAY MILL EXPANSION - PFAS (02-05-586429)</a>"
