OBJECTID,WI_UNIQUE_WELL_NO,COUNTY_NAME,STUDY_WELL_NO,PLSS_DTRS,PLSS_DESC,Shape__Area,Shape__Length
1,HL896,Kenosha,42,4012007,0701N20E,2690574.02655029,6546.7081127117
2,VA085,Kenosha,304,4012236,3601N22E,2627219.89956665,6490.69686467437
3,UE666,Lafayette,271,4030102,0203N01E,2602531.43180084,6441.30437267099
4,NS331,Lafayette,129,4030522,2203N05E,2604759.73191833,6456.34980414203
5,UY822,Lafayette,302,4030434,3403N04E,2581667.90611267,6427.52537173588
6,UT081,Lafayette,287,4020315,1502N03E,2590741.0622406,6444.71659562267
7,VD654,Lafayette,309,4010504,0401N05E,2987911.68955994,6935.085197078
8,ZU742,Lafayette,440,4010112,1201N01E,2589603.1907196,6443.90312817779
9,YB300,Rock,390,4041220,2004N12E,2624965.41577148,6509.97412540958
10,TW823,Rock,259,4031209,0903N12E,2628937.06161499,6478.05202213602
11,SY194,Rock,227,4021102,0202N11E,2609784.09544373,6470.27081585953
12,QO758,Rock,157,4011003,0301N10E,2465514.60417938,6316.23613117532
13,SY177,Rock,226,4011317,1701N13E,2610291.94364929,6463.25563019547
14,FP485,Rock,30,4011214,1401N12E,2649819.58786011,6542.90748912551
15,NQ581,Walworth,126,4041611,1104N16E,2605703.84187317,6479.73513689377
16,ZW512,Walworth,441,4041535,3504N15E,2550462.17234802,6398.6502114362
17,TU229,Walworth,258,4031718,1803N17E,2470655.14891052,6313.12104126502
18,KM406,Walworth,63,4021630,3002N16E,2560982.60850525,6410.13354538054
19,VH712,Walworth,317,4011709,0901N17E,2629607.79676819,6490.13259112073
20,ZY920,Green,447,4030810,1003N08E,2653065.17825317,6508.41255820288
21,XT406,Green,375,4010702,0201N07E,3382997.54986572,7440.31171693389
22,NB361,Racine,114,4042223,2304N22E,2589432.07182312,6462.92767862963
23,SR754,Racine,221,4041926,2604N19E,2583542.12919617,6430.18816545376
24,YV289,Racine,412,4032208,0803N22E,2620361.37487793,6483.71158136923
25,KX999,Racine,72,4031910,1003N19E,2569122.34040833,7133.65471920493
26,IK737,Jefferson,57,4081434,3408N14E,2578435.44903564,6432.05591624047
27,GF543,Jefferson,36,4061305,0506N13E,2627894.52748108,6477.62608473097
28,OG985,Jefferson,137,4061617,1706N16E,2595271.89399719,6464.0832387855
29,SI968,Jefferson,210,4061327,2706N13E,2579922.25485229,6426.21988110532
30,MZ626,Jefferson,112,4051415,1505N14E,2618760.28820801,6464.50165900737
31,YT824,Waukesha,409,4081814,1408N18E,2565495.12789917,6441.04124802832
32,XU919,Waukesha,379,4061820,2006N18E,2563922.95770264,6416.48791438217
33,GI097,Waukesha,38,4062028,2806N20E,2598074.97177124,6452.86616727777
34,EP434,Waukesha,28,4051818,1805N18E,2530201.00584412,6365.59712066977
35,TS508,Iowa,256,4080531,3108N05E,2474194.89122009,6288.5433146105
36,DO974,Iowa,25,4070207,0707N02E,2571587.35949707,6420.23120151221
37,RY181,Iowa,197,4060223,2306N02E,2576418.99195862,6441.20271613691
38,TU093,Iowa,257,4060420,2006N04E,2567084.79711914,6380.70045751721
39,RE098,Iowa,173,4050332,3205N03E,2634735.26657104,6479.09474803323
40,SQ384,Iowa,217,4040109,0904N01E,2612289.99704742,6468.25172018873
41,RT059,Iowa,192,4040415,1504N04E,2620908.57382965,6473.67645300789
42,ID127,Milwaukee,52,4062132,3206N21E,2623493.83151245,6474.61277880877
43,ZY977,Grant,448,2060411,1106N04W,2610547.82190704,6462.87915580113
44,ZY596,Grant,446,2060626,2606N06W,2591304.46798706,6439.06921089775
45,YQ707,Grant,407,2060133,3306N01W,2598545.54055786,6448.54002831173
46,XF641,Grant,355,2050520,2005N05W,2653056.35305023,6515.36888701475
47,VC236,Grant,306,2040419,1904N04W,2506364.4471283,6338.78805017842
48,NS272,Grant,128,2040120,2004N01W,2645983.74832916,6507.17457670273
49,WS885,Grant,336,2030336,3603N03W,2607114.35827637,6458.5588442662
50,XU471,Grant,378,2020305,0502N03W,2634186.81882477,6487.74595881504
51,UW627,Grant,299,2020120,2002N01W,2583557.56756592,6429.52364945609
52,NQ899,Dane,127,4090628,2809N06E,2583108.43493652,6429.19893718111
53,WO259,Dane,328,4091227,2709N12E,2585885.2660675,6436.74579653822
54,DA190,Dane,24,4091034,3409N10E,2581886.17851257,6427.9327354696
55,ND335,Dane,119,4080929,2908N09E,2594843.65545654,6443.56626406442
56,XI517,Dane,358,4070717,1707N07E,2634626.65887451,6493.00584441895
57,AB140,Dane,17,4061009,0906N10E,2517765.72872925,6368.24896574261
58,LJ886,Dane,83,4060825,2506N08E,2536858.71974182,6372.30515188433
59,OL302,Dane,141,4050816,1605N08E,2611458.64028931,6464.97962027288
60,QX100,Dane,160,4050726,2605N07E,2630920.68202209,6487.23024522897
61,FT956,Dane,33,4051028,2805N10E,2620651.30262756,6475.49468917768
62,VF555,Crawford,313,2110335,3511N03W,2712456.53994751,6583.58628990241
63,VJ206,Crawford,319,2110535,3511N05W,2590549.52078247,6436.45669459151
64,YD007,Crawford,395,2100411,1110N04W,2575399.16514587,6441.4630791711
65,ZZ871,Crawford,450,2080626,2608N06W,2597260.7024231,6446.60784909527
66,XW996,Richland,383,2120122,2212N01W,2577816.90293884,6421.54951826938
67,TQ481,Richland,253,2110208,0811N02W,2555732.86828613,6450.74963986988
